name,title,description,datatype,required
id,Ідентифікатор,Інвентарний номер або інший ідентифікатор отриманого об’єкта. Наприклад: 0123456789,string,true
title,Назва,Назва об’єкта. Наприклад: Електронна торгова система “ProZorro.Продажі”.,string,true
description,Опис,Короткий опис об’єкта. Наприклад: Електронна торгова система “ProZorro.Продажі” призначена для проведення електронних аукціонів. Система розроблена та функціонує відповідно до Постанови КМУ від 06.09.2017 р. № 717.,string,true
quantity,Кількість,Кількість одиниць об’єкта. Необхідно вказати лише число без назви одиниць. Наприклад: 1.,decimal,true
unitName,Назва одиниці виміру,"Одиницею виміру може бути штука (шт.) або будь-яка інша одиниця, залежно від типу об’єкта. Наприклад: шт.",string,true
valueAmount,Вартість,"Вартість об’єкта. Наприклад: 98765.40. Десяткові значення відділяються крапкою або комою. Наприклад: 98765.40 або 98765,40. Потрібно дотримуватися одного розділювача для всієї таблиці.",decimal,true
valueCurrency,Валюта,"Літерний код валюти, в якій вказана вартість відповідно до ДСТУ ISO 4217:2010. Наприклад: UAH.",string,true
projectID,Номер програми,Номер державної реєстрації проекту (програми) відповідно до Переліку діючих проектів міжнародної технічної допомоги МЕРТУ. Наприклад: 1234-56.,string,true
projectTitle,Назва програми,Назва проекту (програми) відповідно до Переліку діючих проектів міжнародної технічної допомоги МЕРТУ. Наприклад: Сприяння розвитку демократії.,string,true
recipientID,Ідентифікатор реципієнта,"Код ЄДРПОУ реципієнта, що приймає майно на баланс. Наприклад: 01234567.",string,true
recipientName,Назва реципієнта,"Повна назва реципієнта, що приймає майно на баланс. Наприклад: Виконавчий комітет Тернопільської міської ради.",string,true
implementerID,Ідентифікатор виконавця,"Ідентифікатор виконавця програми (проекту), що передає майно (код ЄДРПОУ або аналог для нерезидентів). Наприклад: 01234567.",string,true
implementerName,Назва виконавця,"Назва виконавця програми (проекту), що передає майно. Наприклад: Громадська організація “Центр впровадження реформ”.",string,true
actID,Номер акта,Номер акта приймання-передачі майна (без знака “№”). Наприклад: 123-45.,string,true
actDate,Дата акта,Дата підписання акта приймання-передачі майна у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-09-26.,date,true
