name,title,description,datatype,required
identifier,Ідентифікатор,"Ідентифікатором нормативно правового акта (НПА) або акта індивідуальної дії є номер та рік видання, що розділені знаком дефіс. Наприклад: 1234-р-2018. Розпорядники також можуть використовувати власні види ідентифікаторів.",string,true
type,Вид,"Залежно від повноважень розпорядника вид НПА може мати одне зі значень: закон, постанова, указ, розпорядження, декрет, рішення, наказ. Наприклад: постанова. Розпорядники мають скласти перелік видів НПА відповідно до повноважень.",string,true
title,Назва,Назва (заголовок) нормативно-правового акта або акта індивідуальної дії. Наприклад: Про питання споживання природного газу.,string,true
dateAccepted,Дата ухвалення,Дата ухвалення нормативно-правового акта або акта індивідуальної дії у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06.,date,true
number,Номер,Номер НПА. Наприклад: 1234-р.,string,false
issued,Дата оприлюднення,Дата оприлюднення нормативно-правового акта або акта індивідуальної дії у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06.,date,true
valid,Чинний від,Дата набрання чинності нормативно-правовим актом або актом індивідуальної дії у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06.,date,true
status,Статус,"Статус може мати одне зі значень: Набирає чинності, Чинний, Втратив чинність, Дію зупинено, Дію відновлено, Не набрав чинності. Наприклад: Чинний.",string,true
publisherName,Назва видавника,Повна назва видавника. Наприклад: Міністерство охорони здоров’я України.,string,true
publisherIdentifier,Ідентифікатор видавника,"Якщо видавник є юридичною особою, вказати його код ЄДРПОУ. Наприклад: 01234567. У іншому випадку зазначити null.",string,false
url,Посилання,Посилання на оприлюднений в мережі Інтернет документ (URL). Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example/.,anyURI,true
registrationNumber,Номер державної реєстрації,"Номер акта за державним реєстром. Наприклад: 123/12345. Якщо державна реєстрація не передбачена, вказати null.",string,false
registrationDate,Дата державної реєстрації,"Дата державної реєстрації акта форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06. Якщо державна реєстрація не передбачена, вказати null.",date,false
registratorPrefLabel,Назва реєстратора,"Назва суб’єкта, що провів державну реєстрацію НПА. Наприклад: Головне територіальне управління юстиції у місті Києві. Якщо державна реєстрація не передбачена, вказати null.",string,false
registratorIdentifier,Ідентифікатор реєстратора,"Код ЄДРПОУ суб’єкта, що провів державну реєстрацію НПА. Наприклад: 01234567. Якщо державна реєстрація не передбачена, вказати null.",string,false
