name,title,description,datatype,required
identifier,Ідентифікатор,Ідентифікатором проекту нормативно-правового акта може бути порядковий номер або будь-яка інша унікальна комбінація символів. Наприклад: p-2019-056.,string,true
type,Тип,"Залежно від повноважень розпорядника вид НПА може мати одне зі значень: закон, постанова, указ, розпорядження, декрет, рішення, наказ. Наприклад: постанова. Розпорядники мають скласти перелік видів НПА відповідно до повноважень.",string,true
title,Назва,Назва (заголовок) нормативно-правового акта. Наприклад: Про питання споживання природного газу.,string,true
registrationDate,Дата реєстрації,"Дата реєстрації проекту в форматі ISO 8601 (рррр-мм-дд). Якщо реєстрація не передбачена, вказати null.",string,false
issued,Дата оприлюднення,Дата оприлюднення проекту в форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06.,date,false
url,Посилання на проект,Посилання в мережі Інтернет (URL) на перегляд документа. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example/.,anyURI,true
creatorName,Ім’я/назва суб’єкта подання,"Прізвище ім’я по батькові або назва суб’єкта, що подає проект. Наприклад: Міністерство охорони здоров’я України. Якщо суб'єктів декілька, розділити значення символом крапка з комою.",string,true
creatorIdentifier,Ідентифікатор суб’єкта подання,"Якщо суб’єкт подання є юридичною особою, вказати його код ЄДРПОУ. Наприклад: 01234567. У іншому випадку зазначити null.",string,false
publisherName,Назва видавника,"Повна назва суб’єкта нормотворення, що має розглянути проект. Наприклад: Міністерство охорони здоров’я України.",string,true
publisherIdentifier,Ідентифікатор видавника,"Якщо суб’єкт нормотворення, є юридичною особою, вказати його код ЄДРПОУ. Наприклад: 01234567. У іншому випадку зазначити null.",string,false
note,Пояснювальна записка,"Посилання в мережі Інтернет (URL) на пояснювальну записку до проекту. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example/.
Якщо пояснювальна записка відсутня, вказати null.",anyURI,false
comparisonTable,Порівняльна таблиця,"Посилання в мережі Інтернет (URL) на порівняльну таблицю. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example/. Якщо порівняльна таблиця відсутня, вказати null.",anyURI,false
regulatoryImpactAnalysis,Аналіз регуляторного впливу,"Посилання в мережі Інтернет (URL) на аналіз регуляторного впливу. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example/. Якщо аналіз регуляторного впливу не передбачений, вказати null.",anyURI,false
