name,title,description,datatype,required
identifier,Ідентифікатор регуляторного акта,"Номер нормативно-правового акта, яким був прийнятий регуляторний акт, та дата його прийняття у форматі ISO 8601 (рррр-мм-дд), що розділені символом “-” (дефіс). Наприклад, регуляторний акт, затверджений рішенням №719 від 29 травня 2014 року матиме ідентифікатор 719-2014-05-29. Регуляторні органи можуть використовувати також власні унікальні ідентифікатори.",string,true
title,Назва регуляторного акта,"Назва регуляторного акта. Наприклад: Порядок встановлення режиму роботи закладів торгівлі, ресторанного господарства, сфери послуг та розваг.",string,true
valid,Дата набрання чинності регуляторним актом,Дата набрання чинності регуляторним актом у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30.,date,true
accessURL,Посилання на регуляторний акт у мережі Інтернет (URL),Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example/.,anyURI,true
bibliographicCitation,Посилання на друковану публікацію регуляторного акта,"Посилання має включити достатню кількість подробиць для того, щоб точно визначити джерело. Рекомендовано використовувати ДСТУ 8302:2015. Наприклад: Вісник Поділля. 2014. Вип. 12/2. С. 2. Якщо посилання відсутнє, вказати null.",string,false
regulatoryAgencyPrefLabel,Назва регуляторного органу,"Повна назва органу, що прийняв регуляторний акт. Наприклад: Вінницька міська рада.",string,true
regulatoryAgencyIdentifier,Ідентифікатор регуляторного органу,"Номер регуляторного органу у Єдиному державному реєстрі юридичних осіб, фізичних осіб-підприємців та громадських формувань (код ЄДРПОУ). Наприклад: 01411082. Якщо регуляторний орган не має коду ЄДРПОУ, вказати null.",string,false
legalActTitle,"Назва НПА, яким ухвалено регуляторний акт","Повна назва нормативно-правового акта, яким було ухвалено регуляторний акт, включаючи дату прийняття та номер. Наприклад: Рішення міської ради ""Про встановлення режиму роботи закладів торгівлі, ресторанного господарства, сфери послуг та розваг, розташованих на території м. Вінниці"" №1719 від 30.05.2014 року.",string,true
legalActIdentifier,"Номер НПА, яким ухвалено регуляторний акт","Номер нормативно-правового акта, яким ухвалено регуляторний акт (без знаку №). Наприклад: 1719.",string,true
legalActCreated,"Дата прийняття НПА, яким ухвалено регуляторний акт","Дата прийняття нормативно-правового акта, яким ухвалено регуляторний акт, у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30.",date,true
basicEvalDate,Базове відстеження: дата затвердження звіту,"(а) Якщо базове відстеження проведене, вказати дату затвердження звіту. (б) Якщо відстеження не проведене — дату останнього строку здійснення відстеження відповідно до законодавства. Дата зазначається у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2016-09-15.",date,true
basicEvalAccessURL,Базове відстеження: посилання на звіт (URL),"(а) Якщо базове відстеження проведене, вказати посилання на звіт в мережі Інтернет (URL). (б) Якщо відстеження не проведене, вказати “не застосовується”. Наприклад: https://www.example.gov.ua/report331-2/. Якщо відстеження проведене, але публікація відсутня, вказати null.",anyURI,false
basicEvalBibliographicCitation,Базове відстеження: посилання на друковану публікацію звіту,"(а) Якщо базове відстеження проведене, вказати посилання на публікацію звіту в друкованих виданнях. (б) Якщо відстеження не проведене, вказати “не застосовується”. Наприклад: Вісник Поділля. 2014. Вип. 12/2. С. 2. Якщо відстеження проведене, але публікація відсутня, вказати null.",string,false
repeatEvalDate,Повторне відстеження: дата затвердження звіту або дата останнього строку здійснення,"(а) Якщо повторне відстеження проведене, вказати дату затвердження звіту. (б) Якщо відстеження не проведене — дату останнього строку здійснення відстеження відповідно до законодавства. Дата зазначається у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2016-09-15.",date,true
repeatEvalAccessURL,Повторне відстеження: посилання на звіт (URL),"(а) Якщо повторне відстеження проведене, вказати посилання на звіт в мережі Інтернет (URL). (б) Якщо відстеження не проведене, вказати “не застосовується”. Наприклад: https://www.example.gov.ua/report331-2/. Якщо відстеження проведене, але публікація відсутня, вказати null.",anyURI,false
repeatEvalBibliographicCitation,Повторне відстеження: посилання на друковану публікацію звіту,"(а) Якщо повторне відстеження проведене, вказати посилання на публікацію звіту в друкованих виданнях. (б) Якщо відстеження не проведене, вказати “не застосовується”. Якщо відстеження проведене, але публікація відсутня, вказати null.",string,false
periodEvalDate,Періодичне відстеження: дати затвердження звітів або дата останнього строку проведення,"Якщо періодичні відстеження проведені, вказати дату затвердження звітів, якщо відстеження ще не проведене — дату останнього строку здійснення відстеження відповідно до законодавства. Дата зазначається у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2016-09-15. Якщо було проведено декілька відстежень, необхідно розділити дати комою.",date,true
periodEvalAccessURL,Періодичне відстеження: посилання на звіти (URL),"(а) Якщо відстеження проведені, вказати посилання на звіт у мережі Інтернет (URL). (б) Якщо відстеження не проведене, вказати “не застосовується”. Наприклад: https://www.example.gov.ua/report331-2/. У випадку кількох посилань необхідно розділити їх комою. Якщо відстеження проведене, але публікація відсутня, вказати null.",anyURI,false
periodEvalBibliographicCitation,"Періодичне відстеження:
посилання на друковану публікацію звітів","(а) Якщо періодичні відстеження були проведені, вказати посилання на публікацію звітів у друкованих виданнях. (б) Якщо відстеження не проведені, вказати “не застосовується”. Наприклад: Вісник Поділля. 2014. Вип. 12/2. С. 2. У випадку кількох посилань необхідно розділити їх комою. Якщо відстеження проведене, але публікація відсутня, вказати null.",string,false
