name,title,description,datatype,required
identifier,Ідентифікатор,"Ідентифікатором нормативу є номер нормативно-правового акта (НПА), яким був ухвалений норматив, та рік його прийняття, що розділені знаком дефіс. Наприклад, 123-2014. Розпорядники також можуть використовувати власні види ідентифікаторів.",string,true
title,Назва,Повна назва нормативів. Наприклад: Типові штатні нормативи дошкільних навчальних закладів.,string,true
validFrom,Дійсний з,"Дата, з якої дійсний норматив, у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2010-11-14.",date,true
validThrough,Дійсний до,"Дата, до якої дійсний норматив, у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2030-11-14. Якщо дата не встановлена, вказати null.",date,false
url,Посилання,Посилання на оприлюднений норматив у мережі Інтернет. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example.doc.,string,true
legalActIdentifier,Ідентифікатор НПА,"Ідентифікатор НПА, яким ухвалено норматив. Ідентифікатор береться набору “Нормативно-правові акти, акти індивідуальної дії, прийняті розпорядником” (ресурс LegalActs колонка identifier). Наприклад: 456-2017.",string,true
legalActType,Вид НПА,Вид НПА. Наприклад: Наказ.,string,true
legalActTitle,Назва НПА,Назва НПА. Наприклад: Про затвердження Типових штатних нормативів дошкільних навчальних закладів.,string,true
legalActDateAccepted,Дата ухвалення НПА,Дата ухвалення НПА у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06.,date,true
legalActNumber,Номер,Номер НПА. Наприклад: 1234-р.,string,false
publisherName,Назва видавника,"Повна назва видавника НПА, яким затверджено норматив. Наприклад: Міністерство охорони здоров’я України.",string,true
publisherIdentifier,Ідентифікатор видавника,"Якщо видавник є юридичною особою, вказати його код ЄДРПОУ. Наприклад: 01234567. У іншому випадку зазначити null.",string,false
