name,title,description,datatype,required
identifier,Ідентифікатор,"Ідентифікаційний номер набору даних. Наприклад: amk-dovidnyk. Якщо розпорядник не присвоїв ідентифікаторів перед завантаженням, їх можна скопіювати з паспортів наборів на порталі.",string,true
title,Назва,Назва набору даних. Наприклад: Інформація про організаційну структуру Антимонопольного комітету України.,string,true
description,Опис,Опис набору даних. Наприклад: Набір містить інформацію про організаційну структуру розпорядника відповідно до організаційно-розпорядчого документа “Структура і штатна чисельність”.,string,true
accrualPeriodicity,Частота оновлення,"Частота оновлення може мати одне зі значень: Більш як один раз на день, Щодня, Щотижня, Щомісяця, Щокварталу, Кожного півріччя, Щороку, Відразу після внесення змін. Наприклад: Щотижня.",string,true
keyword,Ключові слова,"Ключові слова, що описують зміст даних в наборі. Слова необхідно відділити знаком кома. Наприклад: структура, посади, підрозділи, штат, підрозділ, організаційна структура.",string,true
purpose,Підстава та призначення збору інформації,"Перелік нормативно-правових актів, що визначають підставу та призначення збору інформації. Назви мають включати основні реквізити, що необхідні для пошуку документів.",string,true
landingPage,Посилання на сторінку набору даних,Посилання на сторінку набору на порталі відкритих даних. Посилання має починатися з https://. Наприклад: https://data.gov.ua/dataset/amk-zvity.,anyURI,true
distributionFormat,Формати ресурсів,"Перелік форматів, у яких доступні ресурси набору. Назви форматів записуються великими латинськими літерами. У випадку кількох форматів відділити значення комами.",string,true
publisherPrefLabel,Назва розпорядника,Повна назва розпорядника набору даних. Наприклад: Міністерство охорони здоров’я України.,string,true
publisherIdentifier,Ідентифікатор розпорядника,"Якщо розпорядник є юридичною особою, вказати його код ЄДРПОУ. Наприклад: 01234567. У іншому випадку зазначити null.",string,false
contactPointFn,Відповідальна особа,"Прізвище, ім’я, по батькові відповідальної особи. Наприклад: Симоненко Олена Петрівна.",string,true
contactPointHasEmail,Email відповідальної особи,Адреса електронної пошти відповідально особи. Наприклад: contact@example.gov.ua.,string,true
